Question title,Question body,label
Apartment sales charge judicial scrivener What TT,84m2 apartment purchase indeyo 267 500 000 165 000 000 .. Please help .. slip official price of gosunim ㅜㅜ,loan
Is one family temporarily housing two years exemption period?,"A. 2008. ~ as of February. Rent of rooms (adjusted current local) co-wife who, disclosure is only 400 million B. 2019 Nissan purchase of apartments. 1.11 At the time the contract (adjustment area) -> 12/28 registered during 2019. (unregulated area) -> 2021 current (adjustment area) a couple who jointly, disclosure is less than 300 million? Q1. Temporarily exempt housing 1 Furniture 2 the sale received benefits .B registered Homes chinnal (unregulated area .19.12 / 28) are you going to be looking to sell into the point a house three years? Or put me down payment (adjusted areas. 19,11 / 1) looking at a point a House Does the sell in two years? Q2. Since this time sell more than 900 million a to 1 billion 100 million for the transfer tax is gonna be charged? is the tax rate is 42%?",Trading
Gagyeyakgeum that's going to return?,"Recently Opie tell that stretch came to a temporary contract through the implementation of pre-sale marketing to see the residential studio apartment that after consultation possible loan co people. By the way, my husband got a credit from final beopmusaeul the amount that would receive during the first consultation received a loan can not be determined. However, in the name of the wife I have a loan that comes ... why jeukseun doeseo credit cards can I use performance housewife and her husband again I think I did something wrong maven loan to her name in the situation can not loan contracts supposed to destroy, if I get this return gagyeyakgeum?",contract
I wonder temporary exemption House 2,"1. The non-adjusted number of Ownership Apartments (2019. July / August occupancy in 9-2021) 2. Incheon Villa Purchase (March 2020 / redevelopment progress / October 2020 Month project implementation Is notices / 2021 end-2022 early management disposed of applied planning) Currently, the temporary two houses # 1 Apartments for Villa twice with alternative housing after a number of unregulated Apartment Ownership plan additional exemption circumstances, if the resale apartments between 1 March to June, I wonder whether it is the same as the two previous temporarily exempt housing.",Trading
"Charter confidence loans is caught, the real estate sales",Hey got a minute Giving to sell the real estate phones usually two hasimyeonseo it possible to sell in the months have out there leaving after the (?) Investors the estate went to the charter assured loan selling customized for the Real Estate Appraisal I'm trying to wave What I value in buying real estate literally gives? Is this also maemaebeop?,Trading
Transfer tax exemption rebuilding union ipjugwon acquisition date?,"Temporary 1 1 Furniture House (formerly House - Acquisition year 2018) 1 members ipjugwon (2021.2) when you sell the previous three years from the date of the previous homes receive tax exemption acquired the house ipjugwon compendium known as a tax-free ingeol. Whether ipjugwon the date of acquisition is not completed (22.6 Completion scheduled) contracts and the combination ipjugwon day (21.2) taken, the completion of registration of the parent (22.6) I sealed? All non - stop served",Trading
#ERROR!,"Hello, we Burin question. Is 17 years to wipe subscription is registered plans in March sf apartment was winning coming. At the time 400 million were apartments are currently more than 700 million are expected'd better climb (mediocre to - until the next 900 million) is currently one jutaekja March Registration existing home around the time the indeyo going to sell, naeulkkayo better go to the registration Scene couple co people in wife who? the question jointly who is I might just naeulji haneunge a wife alone for when the next sale transfer tax savings (as short as two years as long as four year degree expected after short residence)",Trading
California 1 2 Apartment House in Seoul will consult transfer tax in 2013,"(No actual residence charter) Chang-dong apartment Purchase 2013 Uijeongbu apartments KS 2015 (without actual residence charter) '13 parents who are of charter tenants signed Uijeongbu apartment sales contract 4 years 2021 January then two years later, Chang-dong apartments exemption subject to one jutaekja whether Contact deuryeoyo Chang-dong apartments Is tax-free reserves only enough without living in the current 12 billion?",loan
1 1 Furniture House exemption haetaek three separate times,"Hello, I'd like one family one house trying to buy a house is not a wonder I was 25 years old and married with children 0 0.0 children for non-taxable persons professionals point question: 1) questions whether the exemption haetaek to buy a house after three separate 2) I wonder if you can even get a tax-free haetaek to buy a child, and three separate people before transferring its housing.",Tax
We Dobong Apartments 1 California 2 House gains tax inquiries,"(No actual residence charter) Chang-dong apartment Purchase 2013 Uijeongbu apartments KS 2015 (without actual residence charter) '13 parents who are of charter tenants signed Uijeongbu apartment sales contract 4 years 2021 January then two years later, Chang-dong apartments exemption subject to one jutaekja whether Contact deuryeoyo Chang-dong apartments Is tax-free reserves only enough without living in the current 12 billion?",Trading
1 2 Furniture for temporary housing exempt haetaek questions during the transfer period,"Hi 1 2 Furniture House during question time of the transfer tax exemption credited. Each purchase other regions indeyo 1 March 2021. Housing (non-adjusted target area) twice in September 2019. Housing Ownership Acquisition (Non-adjustment target area), 2020. 12 18. adjust the target area designated 2022. registration is scheduled for September and move in. Q) adjustment target area twice in September 2022. occupancy houses, and I get a tax-free haetaek sell within a few years the non-adjustment target area once home?",Trading
Tax Questions (transfer tax),"[Question] a temporary two houses tax-free contact private adoption 0% finish rate of 0% in October 2016: A apartments offer prize (yujutaekja the parents and the household status subscription winning search / time 30 years yisangim to) October 2019: B Apartments acquire shares (joint names, ownership 50%) February 2020: a Apartment balance completion and registration of a apartments rooms residence of the then (See details of only the resident winners themselves, the balance completion to present) a ownership one year has elapsed from the acquisition date , was buying the apartment .... the B of a after the completion of actual residence. * a, B are both speculative overheating district (Seoul). A can I get yeoteum not apply to this case at the time of acquisition (2016.10) overheated speculation District, A or B, home sales during temporary housing two non-taxable benefit?",Trading
Ipjugwon speculation whether the district tax exemption that ...,At the time the contract was a non-adjustment region was designated as an adjustment balance area is there any change in the membership ipjugwon's exemption ipjugwon to retain and sell more than 2 years?,Trading
Ipjugwon speculation whether the district tax exemption that ...,At the time the contract was a non-adjustment region was designated as an adjustment balance area is there any change in the membership ipjugwon's exemption ipjugwon to retain and sell more than 2 years?,Trading
"Instead, you give parents who jeonsegeum?","(Of charter rentals) Current father had apartments 1 price 600 005 000 Apartment for expulsion 1 (9 years living bongyangjung.) The mother had an apartment in the epigraph to give the charter ppaejugo the jeonsegeum father had apartments in that jeonsegeum hasipni want to live to accommodate a father who apartments Diego. acreage will cost more cursors. yireolttae jeonsegeum 300,000,005 after the ceiling is also just give you some amount is there a donation-related issues? is IOU ansseodo? see why gonna be a half-and-half the amount held in hyeonsise also for the impressive amount of marketing when I get it I'm positive? Yireolttae also happens IOU ansseo nwado?",#ERROR!
"(Of charter rentals) Current father had apartments 1 price 600 005 000 Apartment for expulsion 1 (9 years living bongyangjung.) The mother had an apartment in the epigraph to give the charter ppaejugo the jeonsegeum father had apartments in that jeonsegeum hasipni want to move to live with his father who apartments Diego. I have more acreage cursor. yireolttae jeonsegeum 300,000,005 ceiling also just give you some money as a gift there any issues? do we have to write IOU ?? 1-2 years after I get it back when trading? Why look inde situation where the half-and-half the amount paid Are there's the impressive part when the future apartment price hike a little? Is there even be re-marketing deungyeo problem?",,Trading
Charter along going to be two houses on sale during 1 Houses?,"Hello, we heard that question along one jutaekja Charter inde two houses are going to ?? two houses when the loan is not that a sale upon contract date.",loan
Rent arms trafficking contact,1. I try to hold monthly rent sale whether the mortgage? 2. Apon a mortgage loan if any? 3. The current tenants facing rent the room to try to Rent nagandago orally in August to go and see the sale ya Anna ?? Then how to do? 4. When faced another problem or need to make sure the problem is marketing the rent?,Trading
Redevelopment Villa donation questions,Now that my parents gyesipnida have a New Apartment one redevelopment villa one will (promotion phase maintenance area designated before the combination only established state) questions if submitted bestowal of the redevelopment of Villa me that the inner million gift tax or pay to transfer tax for the redevelopment of Villa for capital appreciation The wonder is overheated speculation district,Trading
Whether temporarily Furniture 2 1 -2 years jutaekja my existing home loan can be re-aged Simi disposal,"Good morning. A person with a temporary 1 Furniture 2 jutaekja. And to the expulsion of Busan villas (with living in a tenant market of about 1.6 billion, charter) one, and now were buying an apartment in the capital (purchase market of 3.8 billion at the time) Loans received 45% Villa case, as a marketing this is the last time two years released in real estate, apartments must be repaid in full the loan does not dispose one to two years house. 1) re-aged loans available if you purchase Apartments do not dispose of your old house two years? 2) How can I approximate cost of existing housing to families and relatives donated or transferred to? (Pitting 100)",Trading
Upon any transfer of residential real estate may question,"I'd like to sell my father had a house, different housing can be calculated at the time of acquisition and upon any transfer Who says I heard entry like the Internet, I do not know the correct information, good mother, who's apartments 2020.02-year resident father who - less than two residential studio apartment (registered leasing business ) 2018.04- two small apartments (charter zoom. I'd like to rent is registered for that to organize the transfer tax imposed during and tax hikes as less than 100 million official price X) 2020.0621.06.01.. 1. The number of homes that are going to do? Is one family house 5? When I try to dispose of the Father, who in an apartment house 4 1. wondering ingeonji furniture ingeonji, except that rent studio apartment 1 Furniture 2 houses. 2. How are we going to it that the order is important to decide upon any transfer ?? Please answer.",Trading
Estate planning personnel to enter the land of commitment,"Lowering the price of land in the estate planning how to beat hanpil lot of customers? You insert For example, if you put it ... follow the money, cheaper price to people who can put 20 people enough? It may hit 100 people yireotdago is a land of mountains customers later is there any problem? are you a tough sell land?",administration
The transfer tax statement.,To 300.005 million purchase of apartments overheating regional price differences held less than one year 500 005 000 Marketing is one of only owned apartment houses. No additional expenditure is already in the interior. Is transfer tax is roughly how much? The calculator site specifications.,Trading
Strange realtor,"This time, it would put the land sale. We must say that this selling price per square meter and 530,002 buyers is to purchase a 600,000 won per pyeong gains in the mid-huh realtor eat anbatneun the transit fee. Are available agents are so many better go ten million won or flock in the middle anganeunde understand?",law
Is it possible to transfer tax exemption?,"We query the stuffy mameum. Here and there eopneyo ask a clear answer. ㅠㅠ son (age 40): Match Gwangju apartment four years ago to continue his father (70 years) of residence after the purchase: Match Seongnam material Apartments tightening father home endorsement of residence acquired 15 years ago (conditions: January 28 11 2021 days contract, 2021 balance 02-26 days) but this time even the first generation of stars, each one housing exemption requirements gatchwoseo three've signed the contract of sale was the father generation generations hapga son home before trading balance. Dropped The three horizontal sum (4 February 2021 hapga three years) because of two houses dwaebeo Father's house are aware that the tax exemption due to elderly parents esque exception. So if I do I transfer the house after my father upon any transfer tax exemption it must hold one back two years from the time this house a home? It does not recognize the right to exempt existing holdings? Please answer of gosunim.",Trading
#ERROR!,He is currently living in Cheonan 0.20 years of the charter was received Cheonan construction apartment pre-sale agreement in December (Meanwhile the midst of the Cheonan was tied to the adjustment area) But my husband at work problems because of lack of money trying to sale on loan or home a stepping stone Asan jariron are thinking (80 million won expected loan amount) But if you get the loan as above can we have the next Cheonan apartments interim loans work?,loan
After stretching the entire neighborhood living facility after a single-family home sales were lost during the transfer tax,"1 donation received from the House in July 2014 the mother in the family house after the first report to the gift tax value was 181,000,000 1 Furniture 2 jutaet. Will stretch almost the whole of the expected loss of homes geunsaeng after the 2021 cost 500 million. Official price is about 400 million. We question gains tax upon sale of about 15 billion after expansion and capital gains tax upon sale also asked five years",Trading
Loans during divide the land,I want to divide the sale of 100 187 square pyeong bought the land by dividing received the loan at the time I bought the land to pay off the loan when the sale?,loan
Is temporarily exempt housing 2 1 Furniture target? We pitting.,"Hello to buy a detached house in Uijeongbu ganeungdong in September 2015, it was trading a destination family and lived apartments in a workplace issue in August the August 2018 family just down the pole live in a rent 2016. Currently Uijeongbu yen still wife family There is live and all second homes are to the people you wondering what caused capital gains tax when you buy or sell Uijeongbu house. another will wonder when marketing a pole house and move to charter is in one housing can apply for pre-sale. Uijeongbu Is there a matter if the destination marketing side? Wife was having side wants to continue to live in Uijongbu. Uijeongbu House arbitrage gold is less than 100 million, and there are no poles House arbitrage gold. I have lately head hurts .... thank gosunim the answers.",Trading
How do I temporarily exempt if the two houses of furniture?,"* County apartment Yeongtong-gu Suwon: 21/02/2020 of residence acquired in 2010. * Adjust targeting new apartment in Pyeongtaek: 03/08/2018 Pre-sale and payment deposit 15/01/2021 06/17/2020 charter of the agreement, the tenant occupancy. Adjust targeting one. County apartment Yeongtong-gu Suwon do I need to trade in taxable years? 2. If you sell your current residence apartment two years of new apartments in Pyeongtaek am aware of is a non-taxable resident When do I need? 1) if at any time or even move to the previous two years residence for sale? 2) 2021.1.15. Being charter-party tenants because the contract expired (1/15/2023) do you need to move in within a few days by?",Tax
Real estate and landlord rights charter renewal whether fraudulent transfer,"If real estate and landlord you are buying and trading house minute room residence was recorded words motivation known to tell me he should get out of the house. The next day it turned out real estate and were renters induced to say to me lie there a way I can cope ? The charter renewal period ticket can be used. expiration Date is July 14 21 Purchase Agreement Date January 16, '21 one landlord and real estate call on January 15, January 16.",monthly
"1 ton, 2 tons, 3 tons, 5 tons each ad costs money refused Report","3-minute drive Match 1 -5 minutes. 1 ton, 2 tons, 3 tons, 5 tons each offer 2 shipping cost money. Can I borrow Chaman ?? Chaman Tell us even borrow money 3. Ladder costs would be appreciated and tell!",law
1 1 residential housing taxable when sold studio apartment Contact,1 Field House 19.3 Copies 1 Officetel 18.3 Purchase one studio apartment of 25 square and was designated a 20.12 adjusted area 19.3 Purchase a house is still a non-yigoyo adjustment region'll break live in a 19.3 Number of apartments sell Officetel contact the property results in a residential office building is one studio apartment radeonde sell tax-free before June? How is that tax differences selling happens after June ??,Trading
Housing transfer tax calculation,"I want to sell this year, the two houses. A housing. Held one year. Before June will sell (transfer tax before revision) joint names. Capital gains 50 million won. B homeownership alone had more than two years. Capital gains 120 million won. 1. Does my double taxation sell two apartments in the same year? 2. Transfer tax calculation, capital gains Husband: A housing 25 million won + B = Housing 120 million won 145 million won. Wife capital gains? Am A house that the transfer tax 25 million won by nine minutes or so did my transfer tax for each house? 3. How much is the final transfer tax, respectively?",Trading
The analysis of actual transaction request,110-10 We ask the actual transaction analysis to wear.,law
Kb price questions,To undergo the stepping stone to a loan from the bank Ulsan cheongokdong accompanied unison Apartment (high-rise) 1.kb quotes How much? How do I receive in the 2.1's finance as a stepping stone to 70%?,loan
Inquiries such as contractors to report tax-free transfer,"Contact We at the Sejong City newlyweds Commando is winning and four months of my three weeks residence were contractors to the current tenants are being been resident with his wife and children three won, and both resident and my current situation need to work in Seoul to work issued during the week It is expected to live in Seoul and living in Seoul on the weekend, we question where to obtain a charter to live on my own studio in Seoul inde 1. the contractor and three weeks of the apartments are located in three kinds of low-leave contractor as a wife to three weeks changes and I wonder again whether you want to transfer the report to the Seoul jeonsejip 2. if question 1 is available Sejong City apartment three weeks and that the contractor is in Ain wife, three won there two years later receive a non-taxable benefit when trading you may wonder",contract
Sale apartment loan questions,"The situation in 2020 3380 Income / monthly salary of 280? 90 1 financial group loans 350 1. Is the credit can go only to withhold the receipt, holding my ID yirang that credit limit inquiry? 2. stepping stones loans before about 6000 first, even if there any impact on the stepping-stone limit? (When I was a shortage gagyeyakgeum ... Max, I'd like to receive customized repay the remaining amount after the director) 3. The salary in 2500 to finance one does get a limit of about 30 million won? (2 Finance x) 4. Geolttae the gagyeyakgeum unconditionally to walk more than 5% Does the bank take?",loan
Anyang material for new apartments for sale please borrow some advice.,"30 late indeyo enterprise workers attended 12 years, but the lack of capital'm no chin ... is Homelessness married in '10 0.1 billion in 3000'm about. Eopguyo loan. I'm currently a lack of knowledge about the real estate lending regulations. Simon.You've always taken care of me.My turn.Do 1 - 2-year-old trying to move in apartments, for example, Anyang hogyedong material when trying to trade the Irvine first I want to know if there is any way. youngkkeul know that I add some customized credit limit can receive a first mortgage loans 0.6 billion compared to 0.8 billion Description haejusimyeon appreciated.",loan
SMBA is the case when the Seller Marketing Questions,"SMBA crunched 100% approval, the broker yirang contract to write the date japdaga broker the house sale Articles progress that hadeoraguyo ask back to the bank, making it forward contracts, do you ask, what are Will be canceled the Small and Medium Business Administration approved? Bank , if the forward contracts How should I put riders?",contract
Apartment sales contract cancellation Contact,"1 Furniture 2 houses that unregulated areas A Apartment B Cottage (former father had less than 50 million won), his former father his former mother groom dispose of me A apartment and also C apartment Agreement (former mother contractors) assigned 1 Furniture 2 Housing Tax ten million won Avenue, with about judam visible to occur is 60 Businesses can find out after I proceeds donated to Decree 2-11 bestowed one does not live two years if the household houses one gains tax exemption benefits do not exactly scream .. ㅠ 1. Cottage is fit geolkkayo forward bestowed upon me the courage and batneunge 70 pro week to maintain a C Apartment A contractor o 'clock, the apartments dispose ...?) In this case'll have a capital gains tax exemption bestowed Decree ㅠ 2? Referring back to C agreements Apartment sales contract canceled after the expulsion of the people. I have been a gift with me away from my parents because my mom gift tax occur? Registration is just your down payment is undocumented status is currently down payment is a transfer from my account history",contract
Check whether the transfer tax exemption and will pay approximately US target date and double taxation and tax questions.,"The same resident registration the family is father, mother, brother (40 married) father had apartment A (actual residence 1992.03 ~ 2019.05), (purchase official price 28,500,000, the current sale price 115 million), type the name of Apartment B (acquisition date 2019.05) It is the name of the father cottage C (land 585m2, building 113m2, 3 nectarines prices should not be equal to a few years after the saga Vacant grandparents stone god) so 0.1. A live and the charter was to give the A's moved to an apartment B-type people in May 2019 was told that one household in three houses now trying to dispose of the A. This short little knowledge out to the Internet euron Cottage C can be subtracted from the rest of the house A, B has two temporary furniture not it wants to be the transfer tax exemption? 2. If you are not exempt you dispose of A that apply to double taxation? Transfer tax are wondering come out roughly to some extent. I will study more together, and I also want to recognize the hard exemption, partial double taxation ... heart level to help gosunim the request in a short knowledge.",Trading
Seal the necessary land for sale,This gave the seal of my relatives in neighborhood development issues. Yeoreomyeong joint name of the neighborhood development? There is a way everyone has naerago per capita 10 Chapter seal ot seal is required to contract for as formats are developed must agree. Ve stars contents also find out the name of the company on the Internet. Seal the 10 chapters or is it necessary? I have a suspected fraud'm there to that progress must be 70% of the joint members to obtain a seal. relatives are now minutes as difficult gyeolryeo life. thank you more tread.,law
Cancel revenue share type mortgage contracts,A resident of 22 years. Slip has not yet received state loans. When sinhui other contract I thought that ten million won deposit yirang mortgage contract to cancel it possible now?,contract
Apartments for sale in the state with members ipjugwon,With members ipjugwon and is expected to move in July next year. Currently I'm living in a charter. The landlord was released for sale. I want to extend the charter. Then he would come to buy the owner I had to go out and work doeseo also the location was changed to the migration to other cities were held by a number of apartments. In my case. Is ipjugwon transfer tax when selling a few professional? If you sell ipjugwon after completion of the registration number of you going to be a case of two jutaekja to sell? Or is temporarily excluded'm the second jutaekja? Is during and destination?,Trading
Whether the actual resident of the area who previously adjusted specified condominium,"I'm the resident after the A Apartments (the former to include the number of Ownership Housing) April B apartments in 2018 one received more pre-sale at the A was waiting for tenants living in the charter by the time the move in time to come homelessness apartment received pre-sale conditions three years has been close to room designated as a Apartment area is adjusting area of ​​who lived B Apartment occupancy time is that'm've approached doeeotneyo designated since B Apartment area is also adjusted area B apartments'm still registered before hitting the move in March, so live a I'd try to sell the apartment and move to save the charter. the B apartments going in the transfer tax benefits to two years later when the actual sale should live? Or am I just a good hold even 2 years? If the Ownership acquired in a homeless state by looking at the articles that alone holds the degrees wonder where this ...",Trading
Apartment simple self-registration inquiry,"Self-registration is coming soon. Haetneundeyo is ready to see a modest multiple blog posts, and some wondering 0.1. I think itneungeot a little confused when written incorrectly by using a street address today if, for example, the contract **** 101 101 East Lake (00 copper and 00 apartments) **** This crystallization (00 East) 00 Apartments 101 East 101 This call is also sseojyeo Is there a problem? Will only the address of herbal, copy and transfer of ownership registration form, power of attorney well correct? 2. OK In addition to address verification Seller Documents reviewed at the seller personal details, the buyer personnel from the seller Seal Certification points and seal the place blanche Handkerchiefs take as its seal watching to take correct seal'll if you only check stuff like ttaeyo have had other paperwork is Please answer ~~ ~",loan
Creating House Purchase Agreement,"The thinking of the House for sale previous balance for the part to let the sales contract, the rider did after the seller liability, the balance of this item, the buyer has entered responsibility? Typically",Trading
Reconstruction purchase should you repay existing loans,"Hello there any questions, please contact one family two houses yiyeotda is to sell processed in early January, the current one house current house is to buy rebuilt area in Anyang area to add Gunpo speculative overheating planet and here too I transmitted curious thing is contained in Gunpo Get Gunpo got a home loan for jeonsegeum returned to former tenants do I repay the loan when buying Anyang area",Trading
Property overcrowded metropolitan suppress double taxation rights inquiry,"Established in Goyang, Gyeonggi 1 year 4 years in Seongbuk-gu, Seoul resident. Thus, the total was 5 BC was transferred to the overcrowded area in overcrowded areas when acquiring real estate in this time five years Is double taxation target",Trading
1 2 Furniture for temporary housing transfer tax related reporting,"Questions will be received home ownership to buying a 20.12 August before it sold a house that you live in January '21 February was until January '21 temporary 1 Furniture 2 House 21 years currently required to report the transfer tax is a situation of furniture one housing Is my case, I am currently be exempt 1 1 Furniture House?",Trading
After the real estate sales contract interim payments due to skyrocketing prices will require more money,"Hello after real estate sales contract about two months and paid a down payment of 10% interim payment had to pay approximately one month the balance was to about 3 months payments from the contract date. Interim payment is possible, quickly asking money in the words on the seller was a soon as provided payments current is remaining only balance the situation the way it's been about two months seller amount climbed watched it because of the estate booming demanded money to us was a contract kkakahseo a hundred before we contract the shaved amount 'm asking again had an agreement lowering the amount in the contract seller is also and was a created contract under accepted me now real estate prices are going to have back the money went rises do Mowers Otherwise, you would prevent the director to balance work too absurd upset, and I do not know why the danghani Oh how I threatened to think that there is no obligation to give the geudon do? I have to know how to thank you for advice and opinions",contract
1 Furniture 3 Home sales during question.,"The apartment is not a sale 17,000 sale price fluctuations billion in 414 years May .b apartment is ranked 5000 sales 50 million won to 14 million in September apartments rose by 18 .c Year Year Marketing 200 005 000 Marketing 50 million won was where the succession was trading in ab is there a house for sale when apart? abc net .bc year has entered the regulatory area .a. b ditch the marketing year, a problem when I want to do sale two apartments in a year when sales sequentially Do doeneunge? how you do get ever transfer tax?",Trading
Villa new construction for sale questions!,I heard where you buy a new construction Villa (For Sale) For eight houses away later construction the prices are ... Villa Marketing sonhaeda'm ever? Is that true? If you are not looking to trade any trading losses should the house did not drop the prices?,loan
Apartment ipjugwon name change,"* Current situation in November 2020 Mon. redevelopment (tojibun) Apartments Jan. members ipjugwon registered in 2020 as a wife who ipjugwon contracts (approximately 3.1 billion) in July 2023 will room occupancy husband, real estate ownership without history (life first acquisition tax exemption available) couple is a haneunge bestowed him naeunji am (upon any transfer of tax) obtaining her husband lives first husband to homeless people - questions the couple jointly who naeunji So when is? a (soon more good sense and the same even before entering the word due to the difference yaw) the issue of the question is tax . Please help those who adhere",Trading
When home sales and loan repayment tax return,"After one year of receiving the e shower Bogeumjari loans, sale house became a day to receive the remaining balance from the buyer on 15 January. Coming in to my account all of the remaining balance, we are in through realtor, then I know that received virtual account from the Housing Finance Corporation repaid and apply three kinds accept cancellation in receiving the loan the bank the necessary documents to the cancellation apply the remaining loans the way real estate is going to meet with the boss speak, what to say, except the remaining loan balance over one day, judicial scrivener, and plugged in but turned off the rest of my account? Then also apply for cancellation of thing that is going to have its judicial scrivener? I appreciate your detail. Also do I have to pay tax at the local tax office to pay the other after the other, we live in the area to sell or transfer tax in various homes? (Was buying the City homes for sale 90 million won, this time to sell the 97 million won. You know revisiting pay the balance in case of tax 700 million yuan. We appreciate your map How to pay tax on the difference came from.) Finally, are you not also apply for cancellation of the order to be in a different area than the receiving bank loan app or I live? I walked pitting notget 300. I beg experts who answer",loan
"Whether members ,, stepping stone house loan, available ,, Bogeumjari","The House members did not contract back to the 16th year of its projects in progress will not notice the current district not smooth? Until've tried other apartments purchased downed like waiting tired to eventually apply for a stepping-stone loan Bogeumjari happened. But stepping stone loan if you have only to members ipjugwon homelessness is downed and another no? So from the phone to the Housing and Urban Guarantee Corporation looked a period to be determined members ipjugwon asked whether the from when I got the answer that - when a report to members on Siza body after signing union], where are you going to talk about it authorized the establishment of ""union flag""? If another such Bogeumjari When the check in the real estate transaction management system in FIG. 1 jutaekja Just because I asked about the possible membership in the housing Finance Corporation I heard haeborago OK - Real estate transaction management system that has been reported agreement on] ...... personal the transactions it does not pop up anything. One union contract is there any way to get a loan or a stepping stone Bogeumjari ???",loan
Sell ​​apartment when I wanted to know some tax-free benefits,"Flat about 29 million sick slip agent had told me about a year, I would like to know eotneunde short time the rent and tax-free benefits, how much does get a tax benefit in case if's",Tax
Disaster assistance credit card,"It received 100,000 won approval characters in just 2.2 haetneundeyo the payment in three monthly installments in the gym, enroll in a secondary disaster, Gyeonggi basic income franchise. If that is 100,000 won'm not the calculated net of disaster basic income in installments when the deduction should not be going? Are you going to be deducted should be calculated as a lump sum ?? ㅠㅠ",#ERROR!
Some do it this way to be taken when co-owned building for sale opposite?,"Good morning. In this poem co-owned buildings for sale any questions, please question are owned by the current co-owned buildings are four people Name on the building. I owns 70% and which owned 10% each three people other than me, the situation Please tell me about the legal way you can take rejection 2 of the three owners during the construction progress at the end of trading. Thank you.",law
The pre-sale conversion upon any transfer of public rental apartments exemption Question,"Five years by switching pre-sale of public rental trying to sell it again. There transfer tax has become a tax exemption known as charter members living in rooms or at least five years, it held two years .... here's a question ... I have all three won another five years Room the living conditions there is satisfied .... my own personal reasons for moving about one year residence in the middle of it elsewhere should come five years actual living conditions. the exits on my own resident geonjiyo that the charter crew compartment five years residence meet? if the resident on my own at the time to sell the three won wondering if the room's resident five years is to meet capital gains tax exemption benefits. See you in with the mother, wife, three children and a resident up to that image.",Trading
1 Furniture 2 View apologize contact housing transfer tax.,"1.5 March 2014: Chungbuk negative apartments for purchase (at the time of purchase 100,005,600 / 200,000,000 current sale price) 2. June 2020 May: There Match Seongnam Bundang villas to buy (at the time of purchase 400,008,000 / current sale price 500 008 000) now has a house two lives in an apartment in Chungbuk voice will continue to live here, so now 10 years you want to continue to reside at least 0.1 What should you sell and when to go, Chungbuk negative apartments furnished two houses have one to sell, Chungbuk negative apartments when going to put out a lot of transfer tax to households 2 housing to prepare the tax from now? Yes for example, to register the operators renting throw or would like to know in what way.",Trading
"I want to know the Great Wall Credit Union North main office, jangseongeup point address, contacts, and fax number. 2020 national target suspicious financial institutions!","I would like to know Baegyangsa ic neighborhood credit unions, credit unions Wall headquarters, eupjeom contact address, and fax number.",law
2 temporary conditional exemption House,"Hello, currently adjusting region one lived for more than houses two years (unregulated last> Adjusted) is trying to buy or sell overheated speculation District 1 House newly There is exemption requirements known as the former homes within a year disposal, new homes within a year moved into new homes There remains a tenant contracts for the disposal of one and a half years tax-free, can I moved into this grace?",Trading
Apartment Ownership must renovation two years living in rooms,"? Reconstruction Apartment Ownership is happens that Daegu (Suseonggu) to have two years actual residence? 1) speculation overheated earth must reside unconditionally two years or2) speculative overheating planet, even overcrowded deterrent area or room is anhaedo resident two years in response'm asking ?",Tax
Do I have to live when purchasing a house with a chartered area?,"Hello, you get along with your parents three won in public rental house. (Not a house to my name ...): 1) Is it possible for you to buy without homelessness La Room for Rent along these cases elsewhere (last week) charter to try to adjust the local Home Buying? 2) If I bought along other areas charter. Did your parents have gone public rental eligible? I wonder (as I called three won ...).",Trading
Chamber Can I get resident must exempt?,"Hello - Burin We have to question nimdeul Naver intellectuals ~ A, B Houses do I have to fulfill obligations under the Purchase and Sale Sale [A Housing: Taegu Eastern Apartments - purchase contracts: 2018.05.10- purchase balance: 06/29/2018 - purchase registration date of receipt: 2018.06.29- Sale completed: 2021.02.03 [B housing: since overheated speculation district / Suseonggu apartment honeymooners Commando - pre-sale notification: winners 2018.06.14- Release date: 2018.06.29- contract date: 2018.07. 10 will move in and registration: How to get a house one application of 2021.03B houses were hastily disposed of the a and B housing should be the actual resident homes two years can receive tax-free?",Trading
When would it caught apartments,The prices would be caught back?,administration
Adjusting area temporarily exempt housing 1 Furniture 2 Contact,"Local temporary adjustment of furniture housing exemption if two inquiries in November 2007 in Seoul A redevelopment of shares purchased: 12 2012 A husband who redevelopment apartments Completion: November 2016 charter putting in Seoul B apartments purchased: his wife's name. November 2018 A Apartment Sale of residence so far (1 furniture 1 House exemption applies Rated) In June 2019 Seoul C redevelopment shares purchased: couple jointly who will apply members' pre-sale, management, disposal of 2021 2025 at the end of C redevelopment apartments will be completed : tenants will question 1) C All three won if moved to reside for more than a year when apartment resident to receive tax-free benefits, temporary two houses and sell the former House Inn B House two years: charter crews is the resident time basis? For example, what happens if you fall in three won the Resident such as work, housing acquired reasons to be completed before 2025? I wonder if the stakes that the purchase date that the apartments completed at time or another date. Question 2) C apartment occupancy during the previous House of B 80% of the capital gains tax for more than 900 million City apartments sell long-term retention deduction applicable record date When Is ? 11 May 2016 whether or cognitive November 2018 I wonder whether 6 May 2019.",Trading
I fell population of Seoul,Why did you climb apartments,administration
